No.,Gh id,Lon,Lat,Elev,Sname,ELID,Year,Month,Val01,Val02,Val03,Val04,Val05,Val06,Val07,Val08,Val09,Val10,Val11,Val12,Val13,Val14,Val15,Val16,Val17,Val18,Val19,Val20,Val21,Val22,Val23,Val24,Val25,Val26,Val27,Val28,Val29,Val30,Val31
1,ARABOM11,39.833,8.4667,1630,Abomsa,TMPMIN,2022,8,16.5,16.7,16.3,17.5,18.4,18.7,18.0,18.5,21.0,17.5,18.5,18.5,17.5,16.5,16.0,16.5,16.0,16.5,15.8,17.4,18.0,17.0,17.0,15.8,17.2,15.2,15.9,15.9,16.5,18.0,16.5
2,ARADEL11,39.90292,7.7505,2466,ADELLE,TMPMIN,2022,8,11.6,9.8,9.5,12.0,11.0,11.1,11.0,10.5,12.0,12.0,12.1,,,,,,,,,,,,,,,,,,,,
3,ARGOLE11,40.125,8.2562,1372,GOLOLCHA,TMPMIN,2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ARKOFE21,38.8,7.0667,2620,KOFELLE,TMPMIN,2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ARKULU11,34.3535,10.57693,723,KULUMSA,TMPMIN,2022,8,13.0,12.6,13.0,12.5,12.5,14.6,15.0,12.8,14.6,14.5,13.6,13.8,13.4,13.4,13.5,14.8,11.5,13.5,11.5,13.2,13.5,12.5,13.2,13.0,12.6,11.6,12.0,9.5,12.4,12.8,11.1
6,ARROBE21,39.6221,7.8757,2441,ARISE ROBE,TMPMIN,2022,8,11.5,11.5,9.5,13.5,12.5,10.5,13.0,10.0,13.5,13.0,13.0,13.5,13.5,13.0,11.0,12.0,10.5,10.0,9.0,10.5,11.5,11.0,11.5,12.0,12.5,12.0,11.5,9.5,11.5,11.0,12.4
7,ARSERU31,40.2025,7.7358,2469,SERU,TMPMIN,2022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BADELL11,39.833333,6.416667,1313,DOLOMENA,TMPMIN,2022,8,15.0,14.0,17.0,15.4,14.6,14.0,16.4,15.0,16.0,15.2,15.2,13.0,12.6,14.4,14.0,14.2,14.6,14.4,13.6,15.0,13.4,12.6,11.0,13.2,11.4,15.0,15.0,12.4,12.4,16.0,14.2
9,BAGINI31,40.7,7.133333,1750,GINIR,TMPMIN,2022,8,14.0,14.0,,14.0,14.0,13.0,14.5,13.4,,13.4,,13.4,13.0,14.0,,,14.0,13.0,14.0,13.6,,,,,,,,,,,
10,BAJARA14,40.766667,7.45,1960,Jara,TMPMIN,2022,8,14.8,13.6,11.0,13.0,14.0,12.2,15.0,13.0,14.0,14.0,14.6,14.0,13.2,14.5,12.8,12.0,13.0,12.8,11.2,11.2,12.0,14.0,13.0,13.0,13.8,13.0,13.2,11.4,13.0,12.2,13.6
