No.,Gh id,Lon,Lat,Elev,Sname,ELID,Year,Month,RF_30Yrs_Normal
1,ARABOM11,39.833,8.4667,1630,Abomsa,PRECIP,2022,8,174.5
2,ARADEL11,39.90292,7.7505,2466,ADELLE,PRECIP,2022,8,132.3
3,ARGOLE11,40.125,8.2562,1372,GOLOLCHA,PRECIP,2022,8,174.3
4,ARKOFE21,38.8,7.0667,2620,KOFELLE,PRECIP,2022,8,135.2
5,ARKULU11,34.3535,10.57693,723,KULUMSA,PRECIP,2022,8,131.2
6,ARROBE21,39.6221,7.8757,2441,ARISE ROBE,PRECIP,2022,8,189.8
7,ARSERU31,40.2025,7.7358,2469,SERU,PRECIP,2022,8,131.2
8,BAADAB43,39.406667,7.016944,2420,Adaba,PRECIP,2022,8,248.7
9,BADELL11,39.833333,6.416667,1313,DOLOMENA,PRECIP,2022,8,28.4
10,BADINS13,39.783611,7.103611,3073,Dinsho,PRECIP,2022,8,212.9
11,BADODO43,38.983333,7.616667,2565,Dodola,PRECIP,2022,8,166.1
12,BAGINI31,40.7,7.133333,1750,GINIR,PRECIP,2022,8,25
13,BAGOBA53,39.98,7.03,2614,Goba,PRECIP,2022,8,125.2
14,BAJARA14,40.766667,7.45,1960,Jara,PRECIP,2022,8,133.6
15,BAROBE22,39.6221,7.8757,2441,Robe,PRECIP,2022,8,128.9
16,GGARBA12,37.55783,6.057167,1207,Arba Minch,PRECIP,2022,8,48
17,GGJINK11,36.55,5.76667,1373,Jinka,PRECIP,2022,8,82.7
18,GGKONS11,37.43333,5.333333,1431,KONSO,PRECIP,2022,8,34.8
19,GGMIRA21,37.77,6.28,1221,MIERAB ABAYA,PRECIP,2022,8,55.7
20,GGSAWU31,36.84125,6.304888,1348,SAWULA,PRECIP,2022,8,112
21,GGTERC21,37.16792,7.148722,1335,TERCHA,PRECIP,2022,8,179.9
22,GNAYKE11,37.0587,12.53968,2254,AYKEL,PRECIP,2022,8,251.7
23,GNDEBA11,37.8979,13.14213,2836,DEBARK,PRECIP,2022,8,310.9
24,GNDEBR31,37.9954,11.8666,2612,D/TABOR,PRECIP,2022,8,397.5
25,GNGOND12,37.4319,12.52115,1973,Gondar A.P.,PRECIP,2022,8,291
26,GNMETE11,36.4139,12.7746,790,METEMA,PRECIP,2022,8,246.9
27,GNNEFA11,38.468,11.73022,3098,Nefasmewucha,PRECIP,2022,8,314
28,GNQUAR11,35.886317,12.228583,648,Quara,PRECIP,2022,8,270.1
29,GNSHAH11,36.8737,11.9286,2205,SHAHURA,PRECIP,2022,8,336
30,GOADET11,37.49312,11.2745,2179,ADET,PRECIP,2022,8,270.3
31,GOAYEH21,36.793,10.661,1771,AYEHU,PRECIP,2022,8,227.1
32,GOBAHI12,37.385,11.595,1800,Bahir Dar Met,PRECIP,2022,8,359.4
33,GOBULL11,36.082,10.5959,1659,BULLEN,PRECIP,2022,8,336.5
